ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;price_H;pseudoprice_H;baseprice_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;variantId_2;articleId_2;name_2;keywords_2;metaTitle_2;description_2;descriptionLong_2;additionalText_2;packUnit_2;attr1_2;attr2_2;attr3_2;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle
AD00042;AD00042;"An- und Verkauf";;"MaxxDiscount GmbH & Co. KG";19.00;27798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00043;AD00043;"Angelsportartikel Einzelhandel";;"MaxxDiscount GmbH & Co. KG";19.00;4905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00044;AD00044;"Angler- und Fischersport-Verei";;"MaxxDiscount GmbH & Co. KG";19.00;2157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00045;AD00045;Anhängervermietungen;;"MaxxDiscount GmbH & Co. KG";19.00;2157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00046;AD00046;"Anlagen Hersteller";;"MaxxDiscount GmbH & Co. KG";19.00;4550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00047;AD00047;"Anstalten für Weiterbildung";;"MaxxDiscount GmbH & Co. KG";19.00;1386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00048;AD00048;Antennenbauunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;17324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00049;AD00049;"Antialkoholiker-Vereine (Gutte";;"MaxxDiscount GmbH & Co. KG";19.00;3909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00050;AD00050;"Antiquariate Einzelhandel";;"MaxxDiscount GmbH & Co. KG";19.00;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00051;AD00051;"Antiquitäten Einzelhandel";;"MaxxDiscount GmbH & Co. KG";19.00;691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00052;AD00052;"Antiquitäten und Kunstgegenstä";;"MaxxDiscount GmbH & Co. KG";19.00;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00053;AD00053;"Anzeigenagenturen und Anzeigen";;"MaxxDiscount GmbH & Co. KG";19.00;2332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00054;AD00054;"AOK Geschäftsstellen";;"MaxxDiscount GmbH & Co. KG";19.00;481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00055;AD00055;Apotheken;;"MaxxDiscount GmbH & Co. KG";19.00;4951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00056;AD00056;"Apotheken, öffentliche";;"MaxxDiscount GmbH & Co. KG";19.00;4951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00057;AD00057;Apotheker;;"MaxxDiscount GmbH & Co. KG";19.00;3123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00058;AD00058;"Apparate Hersteller";;"MaxxDiscount GmbH & Co. KG";19.00;1888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00059;AD00059;"Aquarien- und Terrarien-Verein";;"MaxxDiscount GmbH & Co. KG";19.00;3909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00060;AD00060;Aral-Tankstellen;;"MaxxDiscount GmbH & Co. KG";19.00;394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00061;AD00061;Arbeiter-Samariter-Bund;;"MaxxDiscount GmbH & Co. KG";19.00;3909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00062;AD00062;"Arbeiterwohlfahrt AWO-Vereine";;"MaxxDiscount GmbH & Co. KG";19.00;3909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00063;AD00063;Arbeiterwohlfahrtsverbände;;"MaxxDiscount GmbH & Co. KG";19.00;261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00064;AD00064;"Arbeits- und Berufskleidung Gr";;"MaxxDiscount GmbH & Co. KG";19.00;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00065;AD00065;"Arbeitsbühnen- und Hebebühnen-";;"MaxxDiscount GmbH & Co. KG";19.00;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00066;AD00066;Arbeitsmediziner;;"MaxxDiscount GmbH & Co. KG";19.00;10779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00067;AD00067;"Arbeitsschutzartikel Großhande";;"MaxxDiscount GmbH & Co. KG";19.00;335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00068;AD00068;Arbeitsvermittlungsunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;8644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00069;AD00069;"Architekten für Baugewerbe";;"MaxxDiscount GmbH & Co. KG";19.00;24407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00070;AD00070;"Architekten für Gastronomie/Ho";;"MaxxDiscount GmbH & Co. KG";19.00;1098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00071;AD00071;"Architekten für Handelsbauten";;"MaxxDiscount GmbH & Co. KG";19.00;24407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00072;AD00072;"Architekten für Hochbau";;"MaxxDiscount GmbH & Co. KG";19.00;1098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
